counter,filename,scan_type,obs_seq,ele,n1,n2
0,mapmaker_SETTING_SCAN_40-4-5_noiseweighted_map_nside4096.fits.gz,SETTING,40-4-5,40,4,5
1,mapmaker_SETTING_SCAN_40-4-6_noiseweighted_map_nside4096.fits.gz,SETTING,40-4-6,40,4,6
2,mapmaker_SETTING_SCAN_40-4-7_noiseweighted_map_nside4096.fits.gz,SETTING,40-4-7,40,4,7
3,mapmaker_SETTING_SCAN_40-5-0_noiseweighted_map_nside4096.fits.gz,SETTING,40-5-0,40,5,0
4,mapmaker_SETTING_SCAN_40-5-2_noiseweighted_map_nside4096.fits.gz,SETTING,40-5-2,40,5,2
5,mapmaker_SETTING_SCAN_40-5-4_noiseweighted_map_nside4096.fits.gz,SETTING,40-5-4,40,5,4
6,mapmaker_SETTING_SCAN_40-5-5_noiseweighted_map_nside4096.fits.gz,SETTING,40-5-5,40,5,5
7,mapmaker_SETTING_SCAN_40-6-1_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-1,40,6,1
8,mapmaker_SETTING_SCAN_40-6-5_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-5,40,6,5
9,mapmaker_SETTING_SCAN_40-6-6_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-6,40,6,6
10,mapmaker_SETTING_SCAN_40-6-10_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-10,40,6,10
11,mapmaker_SETTING_SCAN_40-6-12_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-12,40,6,12
12,mapmaker_SETTING_SCAN_40-6-13_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-13,40,6,13
13,mapmaker_SETTING_SCAN_40-6-15_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-15,40,6,15
14,mapmaker_SETTING_SCAN_40-6-17_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-17,40,6,17
15,mapmaker_SETTING_SCAN_40-6-18_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-18,40,6,18
16,mapmaker_SETTING_SCAN_40-6-19_noiseweighted_map_nside4096.fits.gz,SETTING,40-6-19,40,6,19
17,mapmaker_SETTING_SCAN_40-7-1_noiseweighted_map_nside4096.fits.gz,SETTING,40-7-1,40,7,1
18,mapmaker_SETTING_SCAN_40-7-3_noiseweighted_map_nside4096.fits.gz,SETTING,40-7-3,40,7,3
19,mapmaker_SETTING_SCAN_40-7-4_noiseweighted_map_nside4096.fits.gz,SETTING,40-7-4,40,7,4
20,mapmaker_SETTING_SCAN_40-7-5_noiseweighted_map_nside4096.fits.gz,SETTING,40-7-5,40,7,5
21,mapmaker_SETTING_SCAN_40-7-6_noiseweighted_map_nside4096.fits.gz,SETTING,40-7-6,40,7,6
22,mapmaker_SETTING_SCAN_40-7-7_noiseweighted_map_nside4096.fits.gz,SETTING,40-7-7,40,7,7
23,mapmaker_SETTING_SCAN_40-8-0_noiseweighted_map_nside4096.fits.gz,SETTING,40-8-0,40,8,0
